Tracking_Number,Species,Date,Time,Lat,Long
39395,Gray Seal,8/10/2018,2:13:34,41.283,70.253
39395,Gray Seal,8/11/2018,19:59:06,41.301,70.224
39395,Gray Seal,8/13/2018,1:10:00,41.303,70.241
39395,Gray Seal,8/13/2018,22:10:55,41.306,70.224
39395,Gray Seal,8/15/2018,0:29:08,41.332,70.267
39395,Gray Seal,8/16/2018,23:57:10,41.34,69.769
39395,Gray Seal,8/17/2018,13:09:49,41.379,69.338
39395,Gray Seal,8/19/2018,0:05:41,41.007,69.179
39395,Gray Seal,8/19/2018,10:22:56,40.942,69.245
39395,Gray Seal,8/20/2018,21:33:40,40.969,69.285
39395,Gray Seal,8/21/2018,19:46:25,41.312,70.214
39395,Gray Seal,8/23/2018,2:45:08,41.283,70.261
39395,Gray Seal,8/24/2018,2:22:28,41.285,70.255
39395,Gray Seal,8/25/2018,2:03:01,41.32,70.283
39395,Gray Seal,8/25/2018,2:03:01,41.32,70.283
39395,Gray Seal,8/26/2018,13:57:03,41.325,70.284
39395,Gray Seal,8/27/2018,12:17:15,40.952,72.039
39395,Gray Seal,8/28/2018,23:13:19,41.284,70.248
39395,Gray Seal,8/29/2018,12:38:46,41.295,70.259
39395,Gray Seal,8/30/2018,19:41:08,41.293,70.234
39395,Gray Seal,9/1/2018,15:15:43,41.34,70.292
39395,Gray Seal,9/2/2018,9:20:55,41.215,70.336
39395,Gray Seal,9/3/2018,20:36:06,41.318,70.285
39395,Gray Seal,9/4/2018,14:12:32,41.315,70.25
39395,Gray Seal,9/6/2018,0:19:25,40.379,74.94
39395,Gray Seal,9/7/2018,2:34:46,41.317,70.286
39395,Gray Seal,9/7/2018,2:34:46,41.317,70.286
39395,Gray Seal,9/9/2018,23:51:14,41.319,70.289
39395,Gray Seal,9/11/2018,12:41:18,41.112,70.391
39395,Gray Seal,9/12/2018,20:30:14,41.318,70.291
39395,Gray Seal,9/13/2018,10:34:19,40.69,70.536
39395,Gray Seal,9/14/2018,23:50:55,41.322,70.294
39395,Gray Seal,9/16/2018,2:47:44,41.203,70.347
39395,Gray Seal,9/16/2018,2:47:44,41.203,70.347
39395,Gray Seal,9/18/2018,2:05:55,41.284,70.252
39395,Gray Seal,9/18/2018,23:29:08,41.273,70.262
39395,Gray Seal,9/19/2018,22:55:07,41.287,70.257
39395,Gray Seal,9/20/2018,20:39:22,41.287,70.234
39395,Gray Seal,9/22/2018,0:43:11,41.29,70.25
39395,Gray Seal,9/22/2018,23:02:50,41.284,70.243
39395,Gray Seal,9/23/2018,21:46:44,41.157,70.352
39395,Gray Seal,9/25/2018,23:49:31,41.282,70.267
39395,Gray Seal,9/26/2018,21:10:50,41.287,70.27
39395,Gray Seal,9/27/2018,14:36:01,41.212,70.316
39395,Gray Seal,9/29/2018,1:34:58,41.309,70.32
39395,Gray Seal,9/29/2018,13:56:00,40.932,70.275
39395,Gray Seal,10/1/2018,2:12:57,41.346,70.3
39395,Gray Seal,10/2/2018,0:32:31,41.317,70.284
39395,Gray Seal,10/2/2018,23:36:41,41.174,70.276
39395,Gray Seal,10/3/2018,21:30:30,41.327,70.314
39395,Gray Seal,10/5/2018,1:12:22,41.33,70.311
39395,Gray Seal,10/5/2018,15:10:47,41.309,70.325
39395,Gray Seal,10/6/2018,21:57:38,41.327,70.336
100107,Harbor Porpoise,6/30/2010,15:37:44,43.460N,70.261W
100107,Harbor Porpoise,7/1/2010,0:27:46,43.421N,70.070W
100107,Harbor Porpoise,7/1/2010,1:22:04,43.385N,70.053W
100107,Harbor Porpoise,7/2/2010,1:46:14,43.327N,69.782W
100107,Harbor Porpoise,7/3/2010,2:13:11,43.344N,69.275W
100107,Harbor Porpoise,7/4/2010,2:44:47,43.137N,68.826W
100107,Harbor Porpoise,7/5/2010,2:25:21,42.802N,67.988W
100107,Harbor Porpoise,7/6/2010,2:43:30,42.706N,67.717W
100107,Harbor Porpoise,7/7/2010,1:42:47,42.673N,66.944W
100107,Harbor Porpoise,7/8/2010,1:55:59,42.849N,66.435W
100107,Harbor Porpoise,7/9/2010,2:41:40,43.061N,66.917W
100107,Harbor Porpoise,7/10/2010,2:21:57,42.960N,67.165W
100107,Harbor Porpoise,7/11/2010,2:27:36,43.017N,67.228W
100107,Harbor Porpoise,7/11/2010,13:08:42,42.969N,67.167W
100107,Harbor Porpoise,7/13/2010,0:02:59,42.856N,67.080W
100107,Harbor Porpoise,7/14/2010,2:37:52,42.914N,67.131W
100107,Harbor Porpoise,7/15/2010,2:14:58,42.969N,67.203W
100107,Harbor Porpoise,7/16/2010,1:56:46,43.203N,66.950W
100107,Harbor Porpoise,7/17/2010,1:47:01,43.262N,66.897W
100107,Harbor Porpoise,7/18/2010,1:22:59,43.466N,66.918W
100107,Harbor Porpoise,7/19/2010,2:35:16,43.919N,66.994W
100107,Harbor Porpoise,7/20/2010,2:15:56,44.272N,66.879W
100107,Harbor Porpoise,7/21/2010,10:43:14,44.078N,67.201W
100107,Harbor Porpoise,7/22/2010,1:29:58,44.051N,67.260W
100107,Harbor Porpoise,7/23/2010,2:52:04,43.996N,67.360W
100107,Harbor Porpoise,7/24/2010,2:31:51,44.019N,67.577W
100107,Harbor Porpoise,7/25/2010,2:10:05,44.069N,67.665W
100107,Harbor Porpoise,7/26/2010,1:47:13,44.090N,67.495W
100107,Harbor Porpoise,7/27/2010,3:09:21,44.027N,67.758W
100107,Harbor Porpoise,7/28/2010,2:30:29,44.046N,67.741W
100107,Harbor Porpoise,7/29/2010,2:07:50,44.038N,67.694W
100107,Harbor Porpoise,7/30/2010,1:42:56,43.876N,67.840W
100107,Harbor Porpoise,7/30/2010,10:29:40,43.907N,67.932W
158388,Blue Whale,9/19/2018,21:37:54,-67.43928,48.83191
158388,Blue Whale,9/21/2018,22:57:25,-68.51367,48.67595
158388,Blue Whale,9/21/2018,23:08:37,-68.4956,48.70041
158388,Blue Whale,9/22/2018,9:44:32,-67.9487,48.81702
158388,Blue Whale,9/24/2018,23:37:56,-63.41219,48.64912
158388,Blue Whale,9/26/2018,13:12:48,-63.2847,48.57189
158388,Blue Whale,9/27/2018,19:19:07,-63.44392,48.39717
158388,Blue Whale,9/28/2018,14:15:56,-63.26444,48.40019
158388,Blue Whale,9/30/2018,13:04:56,-62.21766,48.3109
158388,Blue Whale,10/1/2018,14:48:18,-62.68708,48.37088
158388,Blue Whale,10/2/2018,14:34:06,-62.14266,48.04738
158388,Blue Whale,10/3/2018,14:07:32,-61.43989,48.09392
158388,Blue Whale,10/4/2018,23:44:54,-61.64667,48.02449
158388,Blue Whale,10/6/2018,20:51:41,-61.30743,48.07909
158388,Blue Whale,10/7/2018,21:31:23,-61.15596,48.14254
158388,Blue Whale,10/8/2018,18:52:54,-61.10747,48.08245
158388,Blue Whale,10/10/2018,15:04:57,-61.23049,48.34054
158388,Blue Whale,10/11/2018,22:26:25,-61.21565,48.01869
158388,Blue Whale,10/12/2018,15:25:28,-61.04606,48.04373
158388,Blue Whale,10/13/2018,10:56:12,-61.0237,47.91508
158388,Blue Whale,10/14/2018,13:39:07,-61.24702,48.18848
158388,Blue Whale,10/15/2018,19:11:40,-61.0493,47.83466
158390,Blue Whale 2,9/21/2018,23:27:36,-67.96843,49.03703
158390,Blue Whale 2,9/22/2018,9:09:24,-67.24621,49.19976
158390,Blue Whale 2,9/23/2018,20:03:37,-64.98496,49.63547
158390,Blue Whale 2,9/24/2018,10:34:39,-64.30974,49.43756
158390,Blue Whale 2,9/25/2018,11:50:49,-64.0415,49.28443
158390,Blue Whale 2,9/26/2018,21:05:05,-63.94369,48.94579
158390,Blue Whale 2,9/27/2018,19:16:53,-63.82034,49.22774
158390,Blue Whale 2,10/1/2018,14:55:46,-64.66225,49.71565
158390,Blue Whale 2,10/1/2018,22:21:49,-64.79648,49.76553
158390,Blue Whale 2,10/2/2018,14:28:23,-64.72664,49.65214
158390,Blue Whale 2,10/3/2018,22:24:17,-65.51635,49.39445
